# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 8315 4 64 2053 4013373 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/button-formenctype
DUPTYPE_WITHIN_SAME_TREE -8315 4 64 2053 4013379 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/form-enctype
DUPTYPE_WITHIN_SAME_TREE -8315 4 64 2053 4013392 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/input-formenctype
DUPTYPE_FIRST_OCCURRENCE 8783 4 67 2053 4013840 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/repeat
DUPTYPE_WITHIN_SAME_TREE -8783 4 67 2053 4013859 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/repeat
DUPTYPE_FIRST_OCCURRENCE 8779 4 68 2053 4013836 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/if
DUPTYPE_WITHIN_SAME_TREE -8779 4 68 2053 4013855 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/if
DUPTYPE_FIRST_OCCURRENCE 8630 4 68 2053 4013687 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-tag-short-docs/decorator
DUPTYPE_WITHIN_SAME_TREE -8630 4 68 2053 4013763 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-tag-short-docs/shadow
DUPTYPE_FIRST_OCCURRENCE 8789 4 70 2053 4013846 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/try
DUPTYPE_WITHIN_SAME_TREE -8789 4 70 2053 4013865 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/try
DUPTYPE_FIRST_OCCURRENCE 8778 4 71 2053 4013835 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/display-dialog
DUPTYPE_WITHIN_SAME_TREE -8778 4 71 2053 4013854 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/display-dialog
DUPTYPE_FIRST_OCCURRENCE 8780 4 73 2053 4013837 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/ignoring
DUPTYPE_WITHIN_SAME_TREE -8780 4 73 2053 4013856 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/ignoring
DUPTYPE_FIRST_OCCURRENCE 8786 4 77 2053 4013843 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/repeat-with
DUPTYPE_WITHIN_SAME_TREE -8786 4 77 2053 4013862 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/repeat-with
DUPTYPE_FIRST_OCCURRENCE 8784 4 79 2053 4013841 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/repeat-until
DUPTYPE_WITHIN_SAME_TREE -8784 4 79 2053 4013860 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/repeat-until
DUPTYPE_FIRST_OCCURRENCE 8785 4 79 2053 4013842 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/repeat-while
DUPTYPE_WITHIN_SAME_TREE -8785 4 79 2053 4013861 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/repeat-while
DUPTYPE_FIRST_OCCURRENCE 8776 4 82 2053 4013833 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/considering
DUPTYPE_WITHIN_SAME_TREE -8776 4 82 2053 4013852 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/considering
DUPTYPE_FIRST_OCCURRENCE 8787 4 87 2053 4013844 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/tell-application
DUPTYPE_WITHIN_SAME_TREE -8787 4 87 2053 4013863 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/tell-application
DUPTYPE_FIRST_OCCURRENCE 8792 4 89 2053 4013849 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/with-transaction
DUPTYPE_WITHIN_SAME_TREE -8792 4 89 2053 4013868 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/with-transaction
DUPTYPE_FIRST_OCCURRENCE 9188 4 90 2053 4016420 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/crystal-mode/init
DUPTYPE_WITHIN_SAME_TREE -9188 4 90 2053 4017556 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/ruby-mode/init
DUPTYPE_FIRST_OCCURRENCE 903 2 102 2053 4003783 1 .emacs.d.spBAK/.cache/auto-save/15824-vidar~
DUPTYPE_WITHIN_SAME_TREE -903 2 102 2053 4003784 1 .emacs.d.spBAK/.cache/auto-save/16209-vidar~
DUPTYPE_WITHIN_SAME_TREE -903 2 102 2053 4003787 1 .emacs.d.spBAK/.cache/auto-save/19482-vidar~
DUPTYPE_WITHIN_SAME_TREE -903 2 102 2053 4003803 1 .emacs.d.spBAK/.cache/auto-save/4864-vidar~
DUPTYPE_FIRST_OCCURRENCE 8788 4 102 2053 4013845 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/tell-application-to-activate
DUPTYPE_WITHIN_SAME_TREE -8788 4 102 2053 4013864 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/tell-application-to-activate
DUPTYPE_FIRST_OCCURRENCE 8791 4 102 2053 4013848 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/with-timeout-of-seconds
DUPTYPE_WITHIN_SAME_TREE -8791 4 102 2053 4013867 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/with-timeout-of-seconds
DUPTYPE_FIRST_OCCURRENCE 7932 7 102 2053 4013022 1 .emacs.d.spBAK/elpa/pdf-tools-20191031.642/build/server/test/docker/templates/centos-7.Dockerfile.in
